Date,Time,Open,High,Low,Close,Tickvol,Vol,Spread
2020.04.27,00:00:00,1725.82,1727.28,1706.08,1713.67,260859,0,0
2020.04.27,01:00:00,1722.32,1723.42,1719.11,1722.70,2525,0,18
2020.04.27,02:00:00,1722.77,1725.92,1722.37,1725.20,1237,0,18
2020.04.27,03:00:00,1725.21,1727.59,1721.86,1724.28,1768,0,18
2020.04.27,04:00:00,1724.34,1725.24,1720.74,1722.57,3903,0,18
2020.04.27,05:00:00,1722.56,1723.59,1721.10,1722.56,2741,0,18
2020.04.27,06:00:00,1722.41,1722.90,1721.47,1721.82,1487,0,18
2020.04.27,07:00:00,1721.89,1723.49,1720.36,1720.42,1872,0,18
2020.04.27,08:00:00,1720.54,1723.44,1720.23,1721.83,3061,0,18
2020.04.27,09:00:00,1721.90,1723.75,1713.26,1714.70,5900,0,18
2020.04.27,10:00:00,1714.68,1722.46,1713.07,1720.70,9821,0,18
2020.04.27,11:00:00,1720.64,1723.79,1718.36,1722.19,9924,0,18
2020.04.27,12:00:00,1722.20,1722.67,1716.13,1717.19,7637,0,18
2020.04.27,13:00:00,1717.18,1718.87,1715.38,1717.30,4665,0,18
2020.04.27,14:00:00,1717.33,1718.57,1714.42,1714.81,8332,0,18
2020.04.27,15:00:00,1714.75,1721.45,1712.48,1719.48,8624,0,18
2020.04.27,16:00:00,1719.64,1722.14,1713.18,1715.38,9391,0,18
2020.04.27,17:00:00,1715.28,1716.82,1705.87,1712.32,12038,0,18
2020.04.27,18:00:00,1712.30,1714.94,1708.79,1711.18,7792,0,18
2020.04.27,19:00:00,1711.32,1714.31,1710.41,1712.05,6392,0,18
2020.04.27,20:00:00,1712.18,1713.65,1709.49,1711.62,4903,0,18
2020.04.27,21:00:00,1711.66,1713.43,1710.09,1713.13,3484,0,18
2020.04.27,22:00:00,1713.15,1718.15,1712.38,1717.23,4046,0,18
2020.04.27,23:00:00,1717.30,1717.53,1713.98,1714.94,1196,0,18
2020.04.28,00:00:00,1710.29,1716.50,1691.71,1708.09,315134,0,0
2020.04.28,01:00:00,1714.90,1716.16,1711.53,1711.90,744,0,18
2020.04.28,02:00:00,1711.67,1712.08,1707.35,1709.44,1813,0,18
2020.04.28,03:00:00,1709.63,1710.44,1703.78,1707.59,2644,0,18
2020.04.28,04:00:00,1707.05,1707.74,1700.03,1703.64,4060,0,18
2020.04.28,05:00:00,1703.48,1704.52,1701.54,1702.26,2707,0,18
2020.04.28,06:00:00,1702.47,1702.72,1695.95,1698.12,2420,0,18
2020.04.28,07:00:00,1698.17,1698.79,1695.71,1697.37,2275,0,18
2020.04.28,08:00:00,1697.19,1697.30,1692.22,1695.25,3193,0,18
2020.04.28,09:00:00,1695.25,1703.11,1693.37,1702.19,4803,0,18
2020.04.28,10:00:00,1702.22,1704.65,1699.08,1701.76,5459,0,18
2020.04.28,11:00:00,1701.97,1703.47,1699.38,1702.54,7693,0,18
2020.04.28,12:00:00,1702.02,1714.61,1701.19,1707.97,9145,0,18
2020.04.28,13:00:00,1708.19,1710.87,1705.83,1709.07,7576,0,18
2020.04.28,14:00:00,1709.12,1712.25,1707.73,1709.57,7042,0,18
