Gmt time,Open,High,Low,Close,Volume
01.01.2020 22:00:00.000,9.83474,9.84214,9.82974,9.83354,608.77
01.01.2020 23:00:00.000,9.83253,9.84005,9.82804,9.83730,1226.33
02.01.2020 00:00:00.000,9.83737,9.84584,9.83454,9.83934,2329.8999
02.01.2020 01:00:00.000,9.83944,9.84321,9.83474,9.84228,1367.83
02.01.2020 02:00:00.000,9.84228,9.85014,9.84074,9.84384,3778.29
02.01.2020 03:00:00.000,9.84384,9.84584,9.84193,9.84534,981.21
02.01.2020 04:00:00.000,9.84524,9.84893,9.84363,9.84587,9667.79
02.01.2020 05:00:00.000,9.84566,9.84984,9.84413,9.84864,4218.8799
02.01.2020 06:00:00.000,9.84864,9.85293,9.84100,9.84182,2579.1299
02.01.2020 07:00:00.000,9.84182,9.84447,9.83554,9.84014,13436.25
02.01.2020 08:00:00.000,9.84030,9.84077,9.81584,9.83014,8716.21
02.01.2020 09:00:00.000,9.83011,9.84308,9.82604,9.83426,8178.4502
02.01.2020 10:00:00.000,9.83437,9.85452,9.83144,9.84321,6777.75
02.01.2020 11:00:00.000,9.84343,9.85536,9.84153,9.84877,11819.6602
02.01.2020 12:00:00.000,9.84877,9.85538,9.84220,9.84684,5916.2402
02.01.2020 13:00:00.000,9.84684,9.84824,9.83184,9.83674,9823.25
02.01.2020 14:00:00.000,9.83684,9.84887,9.83521,9.83803,11913.3701
02.01.2020 15:00:00.000,9.83721,9.84380,9.83304,9.83829,14592.2998
02.01.2020 16:00:00.000,9.83829,9.84203,9.83341,9.83377,5265.2402
02.01.2020 17:00:00.000,9.83377,9.83529,9.83337,9.83412,1229
02.01.2020 18:00:00.000,9.83392,9.83498,9.83138,9.83348,1318.8
02.01.2020 19:00:00.000,9.83348,9.83451,9.82117,9.82636,1937.62
02.01.2020 20:00:00.000,9.82656,9.82656,9.81905,9.82165,1766.1899
02.01.2020 21:00:00.000,9.82154,9.82675,9.82049,9.82404,1713.75
02.01.2020 22:00:00.000,9.82404,9.82605,9.82324,9.82324,70
02.01.2020 23:00:00.000,9.82334,9.82425,9.82151,9.82234,179.15
03.01.2020 00:00:00.000,9.82234,9.82816,9.82144,9.82723,1949.12
03.01.2020 01:00:00.000,9.82754,9.82974,9.82591,9.82934,1991.21
03.01.2020 02:00:00.000,9.82934,9.83914,9.82746,9.83354,5130.3799
03.01.2020 03:00:00.000,9.83354,9.83544,9.82684,9.82859,2308.8501
03.01.2020 04:00:00.000,9.82862,9.83124,9.82684,9.82844,4166.6802
03.01.2020 05:00:00.000,9.82834,9.83075,9.82774,9.82894,1452.9399
03.01.2020 06:00:00.000,9.82894,9.82994,9.82167,9.82264,3633.96
03.01.2020 07:00:00.000,9.82224,9.84371,9.81844,9.83172,12376.4199
03.01.2020 08:00:00.000,9.83159,9.83677,9.81894,9.83029,8206.8301
03.01.2020 09:00:00.000,9.83029,9.85944,9.83027,9.85287,9650.6299
03.01.2020 10:00:00.000,9.85286,9.85945,9.84687,9.84703,7358.6299
03.01.2020 11:00:00.000,9.84703,9.85321,9.83364,9.84219,5364.4902
03.01.2020 12:00:00.000,9.84224,9.84706,9.83715,9.83927,4609.8701
03.01.2020 13:00:00.000,9.83927,9.84214,9.82833,9.82984,6783.1099
03.01.2020 14:00:00.000,9.82974,9.83509,9.82118,9.82842,10973.9404
03.01.2020 15:00:00.000,9.82832,9.84856,9.82342,9.84285,18979.8809
03.01.2020 16:00:00.000,9.84284,9.85750,9.83404,9.85132,6135.2998
03.01.2020 17:00:00.000,9.85114,9.85774,9.85023,9.85202,1017.87
03.01.2020 18:00:00.000,9.85198,9.85770,9.83923,9.83936,2285.8899
03.01.2020 19:00:00.000,9.83993,9.85728,9.83972,9.85611,2673.0601
03.01.2020 20:00:00.000,9.85611,9.86453,9.85481,9.86154,1558.3101
03.01.2020 21:00:00.000,9.86148,9.86293,9.83247,9.84646,1652.1899
05.01.2020 22:00:00.000,9.84764,9.84764,9.84674,9.84734,422.75
05.01.2020 23:00:00.000,9.84734,9.86697,9.84734,9.86039,3838.5601
06.01.2020 00:00:00.000,9.86039,9.86560,9.85564,9.86263,4025.0701
06.01.2020 01:00:00.000,9.86263,9.87014,9.85504,9.86944,2341.95
06.01.2020 02:00:00.000,9.86934,9.87052,9.85960,9.86874,2749.4299
06.01.2020 03:00:00.000,9.86884,9.87547,9.86794,9.87423,2121.28
06.01.2020 04:00:00.000,9.87414,9.87643,9.87094,9.87434,2519.3701
06.01.2020 05:00:00.000,9.87434,9.87643,9.87354,9.87514,1115.91
06.01.2020 06:00:00.000,9.87514,9.87678,9.86814,9.87614,11860.7998
06.01.2020 07:00:00.000,9.87614,9.88276,9.87037,9.87557,11672.9697
06.01.2020 08:00:00.000,9.87557,9.87617,9.85371,9.85858,10649.6299
06.01.2020 09:00:00.000,9.85826,9.86714,9.85320,9.85839,6452.7402
06.01.2020 10:00:00.000,9.85844,9.86077,9.84763,9.85374,4486.6401
06.01.2020 11:00:00.000,9.85374,9.86023,9.84879,9.85021,5347.48
06.01.2020 12:00:00.000,9.84974,9.85385,9.84579,9.84689,4642.3501
06.01.2020 13:00:00.000,9.84675,9.85260,9.84078,9.84654,7737.75
06.01.2020 14:00:00.000,9.84674,9.85362,9.84576,9.84712,7560.3301
06.01.2020 15:00:00.000,9.84835,9.85894,9.84603,9.84897,7151.1699
06.01.2020 16:00:00.000,9.84897,9.85227,9.84743,9.84854,2569.8101
06.01.2020 17:00:00.000,9.84854,9.84964,9.84479,9.84807,1240.1899
06.01.2020 18:00:00.000,9.84807,9.84919,9.84717,9.84775,1825.49
06.01.2020 19:00:00.000,9.84794,9.84976,9.84714,9.84904,1205.75
06.01.2020 20:00:00.000,9.84904,9.85207,9.84734,9.85034,822.5
06.01.2020 21:00:00.000,9.85016,9.85016,9.84323,9.84347,2116.3301
06.01.2020 22:00:00.000,9.84263,9.84598,9.84194,9.84324,248.87
06.01.2020 23:00:00.000,9.84280,9.84472,9.84235,9.84237,680.76
07.01.2020 00:00:00.000,9.84237,9.84568,9.84188,9.84411,982.54
07.01.2020 01:00:00.000,9.84484,9.84544,9.84248,9.84364,1181.38
07.01.2020 02:00:00.000,9.84354,9.84434,9.83964,9.84013,1104.89
07.01.2020 03:00:00.000,9.84003,9.84044,9.83815,9.83884,1059.1899
07.01.2020 04:00:00.000,9.83854,9.84049,9.83434,9.83628,8900.5498
07.01.2020 05:00:00.000,9.83628,9.84064,9.83301,9.84044,1532.03
07.01.2020 06:00:00.000,9.84044,9.84164,9.83274,9.83384,3938.4099
07.01.2020 07:00:00.000,9.83374,9.84081,9.82804,9.83324,12336.6104
07.01.2020 08:00:00.000,9.83339,9.83354,9.81498,9.82147,7801.1499
07.01.2020 09:00:00.000,9.82147,9.83142,9.81554,9.82836,4410.5498
07.01.2020 10:00:00.000,9.82804,9.84214,9.82694,9.84034,5133.1099
07.01.2020 11:00:00.000,9.84054,9.84996,9.83829,9.83993,3497.0601
07.01.2020 12:00:00.000,9.83992,9.85494,9.83494,9.85474,4525.8101
07.01.2020 13:00:00.000,9.85474,9.87424,9.85144,9.86988,9753.71
07.01.2020 14:00:00.000,9.86991,9.88041,9.86785,9.87471,10086.46
07.01.2020 15:00:00.000,9.87470,9.87846,9.85843,9.86478,12596.6699
07.01.2020 16:00:00.000,9.86466,9.87065,9.86150,9.86693,4402.0298
07.01.2020 17:00:00.000,9.86680,9.86803,9.86216,9.86344,1416.22
07.01.2020 18:00:00.000,9.86327,9.86517,9.85860,9.86063,846.88
07.01.2020 19:00:00.000,9.86057,9.87146,9.86057,9.86620,765.1
07.01.2020 20:00:00.000,9.86610,9.87057,9.86610,9.86841,861.28
07.01.2020 21:00:00.000,9.86842,9.89235,9.86314,9.86544,3208
07.01.2020 22:00:00.000,9.85604,9.87662,9.85423,9.87194,434.67
07.01.2020 23:00:00.000,9.87194,9.88540,9.87034,9.88060,12085.9102
08.01.2020 00:00:00.000,9.88060,9.89348,9.87987,9.89034,3358.3501
08.01.2020 01:00:00.000,9.89064,9.89684,9.88513,9.88689,5411.79
08.01.2020 02:00:00.000,9.88676,9.88760,9.87304,9.87518,2490.0801
08.01.2020 03:00:00.000,9.87518,9.88226,9.87173,9.87824,2187.8999
08.01.2020 04:00:00.000,9.87814,9.88018,9.87367,9.87878,3208.77
08.01.2020 05:00:00.000,9.87918,9.88247,9.87514,9.88227,2134.6799
08.01.2020 06:00:00.000,9.88183,9.88272,9.87411,9.87724,3374.21
08.01.2020 07:00:00.000,9.87714,9.87797,9.85454,9.86546,11828.46
08.01.2020 08:00:00.000,9.86546,9.86586,9.84044,9.86255,13404.0498
08.01.2020 09:00:00.000,9.86277,9.87299,9.85364,9.86513,8441.96
